date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:02	756/756	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2025%20Jul%202017%2014:06:03%20GMT	https://sites.google.com/site/abyouthliturature/george-washington-spymaster-how-the-americans-outspied-the-british-and-won-the-revolutionary-war/GEORGE.jpg?attredirects=0	C:/temp/sites/Spy%20Lit/web/images/george.4b6fb5.delayed	(from https://sites.google.com/site/abyouthliturature/george-washington-spymaster-how-the-americans-outspied-the-british-and-won-the-revolutionary-war)
10:06:03	3379/3379	U-----	200	untouched ('')	image/jpeg	date:Mon,%2024%20Jul%202017%2023:02:39%20GMT	https://sites.google.com/site/abyouthliturature/_/rsrc/1500926700814/george-washington-spymaster-how-the-americans-outspied-the-british-and-won-the-revolutionary-war/GEORGE.jpg?height=200&width=112	C:/temp/sites/Spy%20Lit/web/images/george967d.jpg	(from https://sites.google.com/site/abyouthliturature/george-washington-spymaster-how-the-americans-outspied-the-british-and-won-the-revolutionary-war)
10:06:03	510800/510800	---M--	200	added ('OK')	image/jpeg	etag:%221500926700806%22	https://f1fb339a-a-62cb3a1a-s-sites.googlegroups.com/site/abyouthliturature/george-washington-spymaster-how-the-americans-outspied-the-british-and-won-the-revolutionary-war/GEORGE.jpg?attachauth=ANoY7co4KBnI1faCtzNamlyAeT1dXGC1ijhQgna4VZq2Z2KYw0HfxS05cErPqqc57QfyMxRP7N9yPzDW9hWDl5VLlCTtPYBbGxtXKXM8WtG6bJ_0T8KpCq5mhK0gVwj60QMnJQPyBqlh5myIZ6YcfXC4w-BmOp17PvWZOJ4YWDrRDF2NA_xmoIOOXANMzuLgfqDSymAenob61VbBhKZpjPFHODlMUdzn7tHKkNAQXhxQ_1yqV-Ee6yHnKuj4E_Nz_FfmscZCILhFgpVLWfB5ujzamhKlORJvXJc_pZE5so0mYkgiXDXqIPetMvMFyYtWcm6U_CNKnACYQOkGYDWnU4DUYjz2Y0xv2Q%3D%3D&attredirects=0	C:/temp/sites/Spy%20Lit/web/images/george259b.jpg	(from https://sites.google.com/site/abyouthliturature/george-washington-spymaster-how-the-americans-outspied-the-british-and-won-the-revolutionary-war)
10:06:03	36361/36361	U-----	200	untouched ('')	image/png	date:Mon,%2024%20Jul%202017%2023:02:41%20GMT	https://sites.google.com/site/abyouthliturature/_/rsrc/1500927164300/harriet-tubman-secret-agent-how-daring-slaves-and-free-blacks-spied-for-the-union-during-the-civil-war/harriet.png?height=311&width=320	C:/temp/sites/Spy%20Lit/web/images/harriet2881.png	(from https://sites.google.com/site/abyouthliturature/harriet-tubman-secret-agent-how-daring-slaves-and-free-blacks-spied-for-the-union-during-the-civil-war)
10:06:03	635/635	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2025%20Jul%202017%2014:06:03%20GMT	https://sites.google.com/site/abyouthliturature/harry-potter-and-the-art-of-spying/harry%20spy.jpg?attredirects=0	C:/temp/sites/Spy%20Lit/web/images/harry%20spy.4f6fb5.delayed	(from https://sites.google.com/site/abyouthliturature/harry-potter-and-the-art-of-spying)
10:06:04	392402/392402	---M--	200	added ('OK')	image/jpeg	etag:%221500938206426%22	https://f1fb339a-a-62cb3a1a-s-sites.googlegroups.com/site/abyouthliturature/harry-potter-and-the-art-of-spying/harry%20spy.jpg?attachauth=ANoY7cqe3lwMvVu7y-96Egc1QnfZQn7Po9dc3to2vi7d1CaUeySpDliS20la0MZBJrdjGmf_QrgklG-sz1Num7yuidyblTMUP9x2we_fFZzPvGsgbnTifj3I2JVpZhD8kg60RnzRaxZQdQhLGTUE_iVG0wGlaSLlhYJtACkv6u9w9rwrSCy3OO1VAzLWkzaqdXUIQZKnY28h-7aYhRVUHXqLzOICUI-OuPSI3d0HflMwdx8Zp0Z0S0XcNsiCAlkAWB4ZwXr85-K7jWrL9PLt2tUxDVPs1xxUbQ%3D%3D&attredirects=0	C:/temp/sites/Spy%20Lit/web/images/harry%20spyd604.jpg	(from https://sites.google.com/site/abyouthliturature/harry-potter-and-the-art-of-spying)
10:06:04	24134/24134	U-----	200	untouched ('')	image/jpeg	date:Mon,%2024%20Jul%202017%2023:44:37%20GMT	https://sites.google.com/site/abyouthliturature/_/rsrc/1500938206431/harry-potter-and-the-art-of-spying/harry%20spy.jpg?height=320&width=214	C:/temp/sites/Spy%20Lit/web/images/harry%20spy7f05.jpg	(from https://sites.google.com/site/abyouthliturature/harry-potter-and-the-art-of-spying)
10:06:04	558/558	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2025%20Jul%202017%2014:06:04%20GMT	https://sites.google.com/site/abyouthliturature/cipher/computer.jpg?attredirects=0	C:/temp/sites/Spy%20Lit/web/images/computer.526fb5.delayed	(from https://sites.google.com/site/abyouthliturature/cipher)
10:06:04	76843/76843	---M--	200	added ('OK')	image/jpeg	etag:%221500930192529%22	https://f1fb339a-a-62cb3a1a-s-sites.googlegroups.com/site/abyouthliturature/cipher/computer.jpg?attachauth=ANoY7cpWDjiq1mlhKqxGqjw04K3Ho4d00GLmDAb5Ijnj-DaEpcrVkZ9FinVydP7HkOezc4fvr73g_zoDmdG3_WYwYNWdAmQflSNoTwE_9oCdHUt3fSY8igPWabKQupvGPO4DhoT553qaXHgEQ4I3klu_QAajlrMRiPOzIVMcXJJ8KMGy4xyAidkzGvG3pitYpYA8GCJEq-8XPme0-qNJ80SYsGirVW90lVqUv7iB__7e1M7MEaECcXs%3D&attredirects=0	C:/temp/sites/Spy%20Lit/web/images/computer112c.jpg	(from https://sites.google.com/site/abyouthliturature/cipher)
10:06:04	12371/12371	U-----	200	untouched ('')	image/jpeg	date:Mon,%2024%20Jul%202017%2023:02:38%20GMT	https://sites.google.com/site/abyouthliturature/_/rsrc/1500930192538/cipher/computer.jpg?height=320&width=269	C:/temp/sites/Spy%20Lit/web/images/computere27f.jpg	(from https://sites.google.com/site/abyouthliturature/cipher)
